Experiment	Type	URL
SRX19523774	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/040/SRR23641240/SRR23641240_1.fastq.gz
SRX19523774	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/040/SRR23641240/SRR23641240_2.fastq.gz
SRX19523772	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/042/SRR23641242/SRR23641242_1.fastq.gz
SRX19523772	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/042/SRR23641242/SRR23641242_2.fastq.gz
SRX19523773	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/041/SRR23641241/SRR23641241_1.fastq.gz
SRX19523773	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/041/SRR23641241/SRR23641241_2.fastq.gz
SRX15289125	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/049/SRR19225149/SRR19225149_1.fastq.gz
SRX15289125	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/049/SRR19225149/SRR19225149_2.fastq.gz
SRX15289122	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/052/SRR19225152/SRR19225152_1.fastq.gz
SRX15289122	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/052/SRR19225152/SRR19225152_2.fastq.gz
SRX15289123	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/051/SRR19225151/SRR19225151_1.fastq.gz
SRX15289123	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/051/SRR19225151/SRR19225151_2.fastq.gz
SRX15289121	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/053/SRR19225153/SRR19225153_1.fastq.gz
SRX15289121	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/053/SRR19225153/SRR19225153_2.fastq.gz
SRX15289124	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/050/SRR19225150/SRR19225150_1.fastq.gz
SRX15289124	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/050/SRR19225150/SRR19225150_2.fastq.gz
SRX15289120	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/054/SRR19225154/SRR19225154_1.fastq.gz
SRX15289120	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/054/SRR19225154/SRR19225154_2.fastq.gz
SRX15289119	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/055/SRR19225155/SRR19225155_1.fastq.gz
SRX15289119	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/055/SRR19225155/SRR19225155_2.fastq.gz
SRX15289116	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/058/SRR19225158/SRR19225158_1.fastq.gz
SRX15289116	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/058/SRR19225158/SRR19225158_2.fastq.gz
SRX15289117	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/057/SRR19225157/SRR19225157_1.fastq.gz
SRX15289117	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/057/SRR19225157/SRR19225157_2.fastq.gz
SRX15289115	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/059/SRR19225159/SRR19225159_1.fastq.gz
SRX15289115	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/059/SRR19225159/SRR19225159_2.fastq.gz
SRX15289118	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/056/SRR19225156/SRR19225156_1.fastq.gz
SRX15289118	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/056/SRR19225156/SRR19225156_2.fastq.gz
SRX15289113	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/061/SRR19225161/SRR19225161_1.fastq.gz
SRX15289113	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/061/SRR19225161/SRR19225161_2.fastq.gz
SRX15289111	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/063/SRR19225163/SRR19225163_1.fastq.gz
SRX15289111	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/063/SRR19225163/SRR19225163_2.fastq.gz
SRX15289112	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/062/SRR19225162/SRR19225162_1.fastq.gz
SRX15289112	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/062/SRR19225162/SRR19225162_2.fastq.gz
SRX15289110	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/064/SRR19225164/SRR19225164_1.fastq.gz
SRX15289110	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/064/SRR19225164/SRR19225164_2.fastq.gz
SRX15289114	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/060/SRR19225160/SRR19225160_1.fastq.gz
SRX15289114	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/060/SRR19225160/SRR19225160_2.fastq.gz
SRX15289109	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/065/SRR19225165/SRR19225165_1.fastq.gz
SRX15289109	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/065/SRR19225165/SRR19225165_2.fastq.gz
SRX15289108	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/066/SRR19225166/SRR19225166_1.fastq.gz
SRX15289108	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/066/SRR19225166/SRR19225166_2.fastq.gz
SRX15289106	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/068/SRR19225168/SRR19225168_1.fastq.gz
SRX15289106	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/068/SRR19225168/SRR19225168_2.fastq.gz
SRX15289107	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/067/SRR19225167/SRR19225167_1.fastq.gz
SRX15289107	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/067/SRR19225167/SRR19225167_2.fastq.gz
SRX15289104	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/070/SRR19225170/SRR19225170_1.fastq.gz
SRX15289104	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/070/SRR19225170/SRR19225170_2.fastq.gz
SRX15289102	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/072/SRR19225172/SRR19225172_1.fastq.gz
SRX15289102	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/072/SRR19225172/SRR19225172_2.fastq.gz
SRX15289105	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/069/SRR19225169/SRR19225169_1.fastq.gz
SRX15289105	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/069/SRR19225169/SRR19225169_2.fastq.gz
SRX15289101	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/073/SRR19225173/SRR19225173_1.fastq.gz
SRX15289101	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/073/SRR19225173/SRR19225173_2.fastq.gz
SRX15289099	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/075/SRR19225175/SRR19225175_1.fastq.gz
SRX15289099	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/075/SRR19225175/SRR19225175_2.fastq.gz
